지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C)
112,16-Aug,27.4,30.9,24.6,34,16.9
112,16-Sep,22.9,26.7,19.8,29.1,15.4
112,16-Oct,16.2,20.1,12.6,27.7,2.1
112,16-Nov,7.4,11,4,18.8,-4.6
112,16-Dec,2.2,5.6,-1.2,13,-7.7
112,17-Jan,-0.9,2.8,-4.1,10.8,-11.1
112,17-Feb,0.2,3.9,-3.1,10.5,-7.7
112,17-Mar,5.8,10.3,2.5,15.6,-3.5
112,17-Apr,12.4,16.8,9.1,22.5,4.5
112,17-May,17.6,22.3,14,26.8,10.8
112,17-Jun,21.7,25.7,18.5,29.4,14.9
112,17-Jul,25.8,28.6,23.8,32.5,21.6
112,17-Aug,25.4,28.3,23.1,34,16.5
112,17-Sep,21.9,25.5,18.5,28.7,12.9
112,17-Oct,15.7,19.9,12.1,26,3.3
112,17-Nov,5.9,9.9,2.3,19.2,-5.3
112,17-Dec,-1.3,2.1,-4.7,10,-11.1
112,18-Jan,-3.8,-0.6,-6.6,7.2,-17.1
112,18-Feb,-1.8,2,-5.2,8.2,-11.9
112,18-Mar,6.9,11.1,3.5,19.5,-5.5
112,18-Apr,11.9,16.3,8.2,22.3,0.4
112,18-May,17,21.1,13.3,27.8,8.6
112,18-Jun,21.2,25.4,18,29,15.9
112,18-Jul,26.6,30.2,23.7,35.6,18.9
112,18-Aug,28.1,31.5,25.2,35.9,20.5
112,18-Sep,21.6,25,18.5,29.9,12.5
112,18-Oct,13.8,17.7,10.4,24.7,3.4
112,18-Nov,8.5,12.1,5.3,16.8,-1.2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
